Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson,Chao1,ACE
059,39481,39481,184,184,172.294962191648,3.34954471731323,0.642298366269611,0.650497082157557,0.923661200461592,197.262656124712,198.25
060,77192,77192,208,208,179.590712337235,3.19728282240847,0.599018269221863,0.615966029589135,0.893786302256138,216.147987571978,218.461538461538
061,53276,53276,199,199,178.945537867438,3.01473106568328,0.569536644026578,0.581199864437221,0.839512193868037,217.581144086664,220.083333333333
062,22319,22319,235,235,235,3.47306663922017,0.636141082546007,0.636141082546007,0.907193819422174,246.636204120424,247.833333333333
063,98699,98699,682,682,584.153943383315,4.09198440605432,0.627121196473877,0.642367143592664,0.938770056763296,688.864804606158,688.837837837838
064,74446,74446,193,193,179.625475019025,3.64252688421435,0.692141614547964,0.70171745490329,0.928812564745462,198.168558265861,199
065,61333,61333,212,212,190.237751385181,4.16935850890927,0.778361123132393,0.794424609297531,0.972966765087328,230.015566722257,231.090909090909
066,23292,23292,131,131,130.56750436105,3.20867691293383,0.658163495796095,0.658610245856144,0.90815640477019,136.630371133305,136
067,91338,91338,170,170,142.294284095563,3.13287500552682,0.610007391046713,0.631895901229579,0.906004621676243,182.412709875429,187
068,182910,182910,631,631,469.450519020108,4.16035957556417,0.645286521884407,0.676309360993688,0.943392095857194,672.543156525496,678.275
069,210082,210082,539,539,397.947658812152,3.73769694483189,0.594255320879592,0.624373010683603,0.905332714191974,567.072175598552,573.5
070,161095,161095,568,568,417.422970275595,3.47177517135305,0.54741543753874,0.575359234518294,0.86338237271682,603.121229229827,602.695652173913
071,223732,223732,530,530,377.364070628133,3.39345453037785,0.540972591497738,0.571942386449824,0.84472478817471,564.761030343006,579.344827586207
072,315930,315930,594,594,388.765745960415,3.53684825853237,0.553767823326481,0.593134650402518,0.886507436780131,629.081331920408,627.478260869565
073,104760,104760,287,287,237.051347435719,3.4705180941712,0.613221839359624,0.634663942209348,0.926341806417724,301.617129804779,304.647058823529
074,78093,78093,212,212,179.959295765494,3.2325161328578,0.603465708774705,0.622507949171805,0.921413112305172,233.84069258411,249.8
075,104357,104357,207,207,169.39689504464,3.45964499533839,0.648758190607676,0.674099807029452,0.938612447749818,218.520291070642,221.25
076,87472,87472,246,246,208.033088916366,3.60219650706576,0.654310550337402,0.67485966455786,0.943687734602236,260.59538026999,256.5
077,98098,98098,219,219,183.939143343876,3.64012110563485,0.675463472771182,0.698062678460612,0.950646335192235,232.040467767521,230.875
078,172477,172477,861,861,635.060079024011,4.36277480926211,0.645562858939562,0.676009351954789,0.932769557420812,922.738829139419,940.472727272727
079,230262,230262,847,847,614.476974632555,4.15357375644194,0.616101773805655,0.6468963711713,0.9158168010927,894.138297397883,895.666666666667
080,196608,196608,772,772,574.513453499184,4.25116593462779,0.639370704299793,0.669103675267215,0.945046520171066,838.163754544634,855
081,163276,163276,782,782,575.698832993363,3.82098043589936,0.573561055398604,0.601200461886607,0.885743510763591,827.529823635025,841.25
082,180864,180864,754,754,576.368672211086,4.17337381450936,0.629905910880288,0.656526597401694,0.941121005413889,804.675503749081,819.538461538462
083,250482,250482,873,873,618.078709329058,4.50507257679997,0.665256268263678,0.701002317469167,0.956959539620534,929.478276888983,934.157894736842
084,122751,122751,341,341,271.011082419372,3.81927777692271,0.654896217782105,0.681750962398091,0.947459760640203,358.624726728517,352.8125
085,103001,103001,319,319,262.689241911519,3.62190657143217,0.628237036181269,0.650139102827773,0.932058472713975,339.739552610557,350
086,123983,123983,388,388,299.633595187241,3.89943009184082,0.654156450074118,0.683803385286393,0.951079086275096,416.346197307133,416.21875
087,117323,117323,335,335,276.870734021352,3.876088876539,0.666666985772383,0.689260053036651,0.951192702765439,356.976200166435,364.176470588235
088,129270,129270,322,322,259.728880575162,3.81338040311226,0.660376892133663,0.685904403068323,0.95022822715334,348.686093850439,376.090909090909
089,96788,96788,328,328,273.531566854119,3.6840319758963,0.635943953344845,0.656524359894079,0.936670208164049,346.378480416769,352.473684210526
090,161881,161881,627,627,469.461669972301,3.9630775610037,0.615294279497974,0.644236647084319,0.920242922060011,666.662598868811,670.4
